Province,Year,Electricity_GWh
ACEH,2020,2937.99
SUMATERA UTARA,2020,11192.85
SUMATERA BARAT,2020,3429.29
RIAU,2020,4967.05
JAMBI,2020,2010.6
SUMATERA SELATAN,2020,5312.77
BENGKULU,2020,1013.5
LAMPUNG,2020,4959.02
KEP. BANGKA BELITUNG,2020,1217.52
KEP. RIAU,2020,887.6
DKI JAKARTA,2020,32166.72
JAWA BARAT,2020,49542.25
JAWA TENGAH,2020,25090.74
DI YOGYAKARTA,2020,3012.45
JAWA TIMUR,2020,37613.55
BANTEN,2020,22268.71
BALI,2020,4946.86
NUSA TENGGARA BARAT,2020,2149.42
NUSA TENGGARA TIMUR,2020,1133.48
KALIMANTAN BARAT,2020,2715.67
KALIMANTAN TENGAH,2020,1493.69
KALIMANTAN TIMUR,2020,4123.86
KALIMANTAN UTARA,2020,261.82
SULAWESI UTARA,2020,1862.28
SULAWESI TENGAH,2020,1271.06
SULAWESI SELATAN,2020,5977.48
SULAWESI TENGGARA,2020,1063.52
GORONTALO,2020,601.58
SULAWESI BARAT,2020,423.96
MALUKU,2020,548.12
MALUKU UTARA,2020,591.34
PAPUA BARAT,2020,547.46
PAPUA,2020,1132.4
INDONESIA,2020,241405.61
ACEH,2021,3074.47
SUMATERA UTARA,2021,11748.4
SUMATERA BARAT,2021,3646.2
RIAU,2021,6108.32
JAMBI,2021,2111.92
SUMATERA SELATAN,2021,5593.93
BENGKULU,2021,1058.61
LAMPUNG,2021,5176.94
KEP. BANGKA BELITUNG,2021,1369.2
KEP. RIAU,2021,3478.63
DKI JAKARTA,2021,32709.3
JAWA BARAT,2021,53318.02
JAWA TENGAH,2021,26661.16
DI YOGYAKARTA,2021,3108.38
JAWA TIMUR,2021,39457.19
BANTEN,2021,23830.91
BALI,2021,4708.02
NUSA TENGGARA BARAT,2021,2290.19
NUSA TENGGARA TIMUR,2021,1160.16
KALIMANTAN BARAT,2021,2912.98
KALIMANTAN TENGAH,2021,1597.89
KALIMANTAN SELATAN,2021,3050.71
KALIMANTAN TIMUR,2021,4117.44
KALIMANTAN UTARA,2021,184.5
SULAWESI UTARA,2021,1940.26
SULAWESI TENGAH,2021,1353.85
SULAWESI SELATAN,2021,6597.87
SULAWESI TENGGARA,2021,1149.84
GORONTALO,2021,638.71
SULAWESI BARAT,2021,439.49
MALUKU,2021,582.88
MALUKU UTARA,2021,637.04
PAPUA BARAT,2021,583.21
PAPUA,2021,1237.64
INDONESIA,2021,257634.26
ACEH,2022,3154.01
SUMATERA UTARA,2022,12059.81
SUMATERA BARAT,2022,3630.43
RIAU,2022,7691.64
JAMBI,2022,2234.86
SUMATERA SELATAN,2022,5878.31
BENGKULU,2022,1087.22
LAMPUNG,2022,5382.48
KEP. BANGKA BELITUNG,2022,1484.13
KEP. RIAU,2022,3889.72
DKI JAKARTA,2022,34578.29
JAWA BARAT,2022,56226.11
JAWA TENGAH,2022,27564.64
DI YOGYAKARTA,2022,3326.61
JAWA TIMUR,2022,40546.88
BANTEN,2022,26705.67
BALI,2022,5470.51
NUSA TENGGARA BARAT,2022,2359.31
NUSA TENGGARA TIMUR,2022,1206.91
KALIMANTAN BARAT,2022,3034.85
KALIMANTAN TENGAH,2022,1688.28
KALIMANTAN SELATAN,2022,3298.88
KALIMANTAN TIMUR,2022,4287.19
KALIMANTAN UTARA,2022,192.11
SULAWESI UTARA,2022,1966.05
SULAWESI TENGAH,2022,1420.38
SULAWESI SELATAN,2022,7856.64
SULAWESI TENGGARA,2022,1213.9
GORONTALO,2022,674.05
SULAWESI BARAT,2022,470.21
MALUKU,2022,607.1
MALUKU UTARA,2022,672.32
PAPUA BARAT,2022,621.46
PAPUA,2022,1280.52
INDONESIA,2022,273761.48
ACEH,2023,3458.3
SUMATERA UTARA,2023,12472.84
SUMATERA BARAT,2023,3810.84
RIAU,2023,8212.56
JAMBI,2023,2371.18
SUMATERA SELATAN,2023,6278.5
BENGKULU,2023,1155.97
LAMPUNG,2023,5761.91
KEP. BANGKA BELITUNG,2023,1610.81
KEP. RIAU,2023,4209.39
DKI JAKARTA,2023,36992.35
JAWA BARAT,2023,58564.31
JAWA TENGAH,2023,28431.75
DI YOGYAKARTA,2023,3564.23
JAWA TIMUR,2023,41886.3
BANTEN,2023,26971.4
BALI,2023,6354.53
NUSA TENGGARA BARAT,2023,2572.6
NUSA TENGGARA TIMUR,2023,1333.25
KALIMANTAN BARAT,2023,3308.59
KALIMANTAN TENGAH,2023,1831.08
KALIMANTAN SELATAN,2023,3693.87
KALIMANTAN TIMUR,2023,4803.87
KALIMANTAN UTARA,2023,263.04
SULAWESI UTARA,2023,2095.38
SULAWESI TENGAH,2023,1602.92
SULAWESI SELATAN,2023,8558.03
SULAWESI TENGGARA,2023,1342.95
GORONTALO,2023,742.22
SULAWESI BARAT,2023,518.33
MALUKU,2023,633.56
MALUKU UTARA,2023,1018.52
PAPUA BARAT,2023,667.98
PAPUA,2023,1342.39
INDONESIA,2023,288435.75
