Province,Year,Electricity_GWh,Province_GeoJSON
ACEH,2020,2937.99,DI.ACEH
BALI,2020,4946.86,BALI
BANTEN,2020,22268.71,BANTEN
BENGKULU,2020,1013.5,BENGKULU
DI YOGYAKARTA,2020,3012.45,DAERAHISTIMEWAYOGYAKARTA
DKI JAKARTA,2020,32166.72,DKIJAKARTA
GORONTALO,2020,601.58,GORONTALO
JAMBI,2020,2010.6,JAMBI
JAWA BARAT,2020,49542.25,JAWABARAT
JAWA TENGAH,2020,25090.74,JAWATENGAH
JAWA TIMUR,2020,37613.55,JAWATIMUR
KALIMANTAN BARAT,2020,2715.67,KALIMANTANBARAT
KALIMANTAN TENGAH,2020,1493.69,KALIMANTANTENGAH
KALIMANTAN TIMUR,2020,4123.86,KALIMANTANTIMUR
KALIMANTAN UTARA,2020,261.82,KALIMANTANUTARA
KEP. BANGKA BELITUNG,2020,1217.52,BANGKABELITUNG
KEP. RIAU,2020,887.6,KEPULAUANRIAU
LAMPUNG,2020,4959.02,LAMPUNG
MALUKU,2020,548.12,MALUKU
MALUKU UTARA,2020,591.34,MALUKUUTARA
NUSA TENGGARA BARAT,2020,2149.42,NUSATENGGARABARAT
NUSA TENGGARA TIMUR,2020,1133.48,NUSATENGGARATIMUR
PAPUA,2020,1132.4,PAPUA
PAPUA BARAT,2020,547.46,PAPUABARAT
RIAU,2020,4967.05,RIAU
SULAWESI BARAT,2020,423.96,SULAWESIBARAT
SULAWESI SELATAN,2020,5977.48,SULAWESISELATAN
SULAWESI TENGAH,2020,1271.06,SULAWESITENGAH
SULAWESI TENGGARA,2020,1063.52,SULAWESITENGGARA
SULAWESI UTARA,2020,1862.28,SULAWESIUTARA
SUMATERA BARAT,2020,3429.29,SUMATERABARAT
SUMATERA SELATAN,2020,5312.77,SUMATERASELATAN
SUMATERA UTARA,2020,11192.85,SUMATERAUTARA
ACEH,2021,3074.47,DI.ACEH
BALI,2021,4708.02,BALI
BANTEN,2021,23830.91,BANTEN
BENGKULU,2021,1058.61,BENGKULU
DI YOGYAKARTA,2021,3108.38,DAERAHISTIMEWAYOGYAKARTA
DKI JAKARTA,2021,32709.3,DKIJAKARTA
GORONTALO,2021,638.71,GORONTALO
JAMBI,2021,2111.92,JAMBI
JAWA BARAT,2021,53318.02,JAWABARAT
JAWA TENGAH,2021,26661.16,JAWATENGAH
JAWA TIMUR,2021,39457.19,JAWATIMUR
KALIMANTAN BARAT,2021,2912.98,KALIMANTANBARAT
KALIMANTAN SELATAN,2021,3050.71,KALIMANTANSELATAN
KALIMANTAN TENGAH,2021,1597.89,KALIMANTANTENGAH
KALIMANTAN TIMUR,2021,4117.44,KALIMANTANTIMUR
KALIMANTAN UTARA,2021,184.5,KALIMANTANUTARA
KEP. BANGKA BELITUNG,2021,1369.2,BANGKABELITUNG
KEP. RIAU,2021,3478.63,KEPULAUANRIAU
LAMPUNG,2021,5176.94,LAMPUNG
MALUKU,2021,582.88,MALUKU
MALUKU UTARA,2021,637.04,MALUKUUTARA
NUSA TENGGARA BARAT,2021,2290.19,NUSATENGGARABARAT
NUSA TENGGARA TIMUR,2021,1160.16,NUSATENGGARATIMUR
PAPUA,2021,1237.64,PAPUA
PAPUA BARAT,2021,583.21,PAPUABARAT
RIAU,2021,6108.32,RIAU
SULAWESI BARAT,2021,439.49,SULAWESIBARAT
SULAWESI SELATAN,2021,6597.87,SULAWESISELATAN
SULAWESI TENGAH,2021,1353.85,SULAWESITENGAH
SULAWESI TENGGARA,2021,1149.84,SULAWESITENGGARA
SULAWESI UTARA,2021,1940.26,SULAWESIUTARA
SUMATERA BARAT,2021,3646.2,SUMATERABARAT
SUMATERA SELATAN,2021,5593.93,SUMATERASELATAN
SUMATERA UTARA,2021,11748.4,SUMATERAUTARA
ACEH,2022,3154.01,DI.ACEH
BALI,2022,5470.51,BALI
BANTEN,2022,26705.67,BANTEN
BENGKULU,2022,1087.22,BENGKULU
DI YOGYAKARTA,2022,3326.61,DAERAHISTIMEWAYOGYAKARTA
DKI JAKARTA,2022,34578.29,DKIJAKARTA
GORONTALO,2022,674.05,GORONTALO
JAMBI,2022,2234.86,JAMBI
