Province,Province_GeoJSON,Year,Electricity_GWh
ACEH,DI.ACEH,2020,2937.99
BALI,BALI,2020,4946.86
BANTEN,BANTEN,2020,22268.71
BENGKULU,BENGKULU,2020,1013.5
DI YOGYAKARTA,DAERAHISTIMEWAYOGYAKARTA,2020,3012.45
DKI JAKARTA,DKIJAKARTA,2020,32166.72
GORONTALO,GORONTALO,2020,601.58
JAMBI,JAMBI,2020,2010.6
JAWA BARAT,JAWABARAT,2020,49542.25
JAWA TENGAH,JAWATENGAH,2020,25090.74
JAWA TIMUR,JAWATIMUR,2020,37613.55
KALIMANTAN BARAT,KALIMANTANBARAT,2020,2715.67
KALIMANTAN TENGAH,KALIMANTANTENGAH,2020,1493.69
KALIMANTAN TIMUR,KALIMANTANTIMUR,2020,4123.86
KALIMANTAN UTARA,KALIMANTANUTARA,2020,261.82
KEP. BANGKA BELITUNG,BANGKABELITUNG,2020,1217.52
KEP. RIAU,KEPULAUANRIAU,2020,887.6
LAMPUNG,LAMPUNG,2020,4959.02
MALUKU,MALUKU,2020,548.12
MALUKU UTARA,MALUKUUTARA,2020,591.34
NUSA TENGGARA BARAT,NUSATENGGARABARAT,2020,2149.42
NUSA TENGGARA TIMUR,NUSATENGGARATIMUR,2020,1133.48
PAPUA,PAPUA,2020,1132.4
PAPUA BARAT,PAPUABARAT,2020,547.46
RIAU,RIAU,2020,4967.05
SULAWESI BARAT,SULAWESIBARAT,2020,423.96
SULAWESI SELATAN,SULAWESISELATAN,2020,5977.48
SULAWESI TENGAH,SULAWESITENGAH,2020,1271.06
SULAWESI TENGGARA,SULAWESITENGGARA,2020,1063.52
SULAWESI UTARA,SULAWESIUTARA,2020,1862.28
SUMATERA BARAT,SUMATERABARAT,2020,3429.29
SUMATERA SELATAN,SUMATERASELATAN,2020,5312.77
SUMATERA UTARA,SUMATERAUTARA,2020,11192.85
ACEH,DI.ACEH,2021,3074.47
BALI,BALI,2021,4708.02
BANTEN,BANTEN,2021,23830.91
BENGKULU,BENGKULU,2021,1058.61
DI YOGYAKARTA,DAERAHISTIMEWAYOGYAKARTA,2021,3108.38
DKI JAKARTA,DKIJAKARTA,2021,32709.3
GORONTALO,GORONTALO,2021,638.71
JAMBI,JAMBI,2021,2111.92
JAWA BARAT,JAWABARAT,2021,53318.02
JAWA TENGAH,JAWATENGAH,2021,26661.16
JAWA TIMUR,JAWATIMUR,2021,39457.19
KALIMANTAN BARAT,KALIMANTANBARAT,2021,2912.98
KALIMANTAN SELATAN,KALIMANTANSELATAN,2021,3050.71
KALIMANTAN TENGAH,KALIMANTANTENGAH,2021,1597.89
KALIMANTAN TIMUR,KALIMANTANTIMUR,2021,4117.44
KALIMANTAN UTARA,KALIMANTANUTARA,2021,184.5
KEP. BANGKA BELITUNG,BANGKABELITUNG,2021,1369.2
KEP. RIAU,KEPULAUANRIAU,2021,3478.63
LAMPUNG,LAMPUNG,2021,5176.94
MALUKU,MALUKU,2021,582.88
MALUKU UTARA,MALUKUUTARA,2021,637.04
NUSA TENGGARA BARAT,NUSATENGGARABARAT,2021,2290.19
NUSA TENGGARA TIMUR,NUSATENGGARATIMUR,2021,1160.16
PAPUA,PAPUA,2021,1237.64
PAPUA BARAT,PAPUABARAT,2021,583.21
RIAU,RIAU,2021,6108.32
SULAWESI BARAT,SULAWESIBARAT,2021,439.49
SULAWESI SELATAN,SULAWESISELATAN,2021,6597.87
SULAWESI TENGAH,SULAWESITENGAH,2021,1353.85
SULAWESI TENGGARA,SULAWESITENGGARA,2021,1149.84
SULAWESI UTARA,SULAWESIUTARA,2021,1940.26
SUMATERA BARAT,SUMATERABARAT,2021,3646.2
SUMATERA SELATAN,SUMATERASELATAN,2021,5593.93
SUMATERA UTARA,SUMATERAUTARA,2021,11748.4
ACEH,DI.ACEH,2022,3154.01
BALI,BALI,2022,5470.51
BANTEN,BANTEN,2022,26705.67
BENGKULU,BENGKULU,2022,1087.22
DI YOGYAKARTA,DAERAHISTIMEWAYOGYAKARTA,2022,3326.61
DKI JAKARTA,DKIJAKARTA,2022,34578.29
GORONTALO,GORONTALO,2022,674.05
JAMBI,JAMBI,2022,2234.86
JAWA BARAT,JAWABARAT,2022,56226.11
JAWA TENGAH,JAWATENGAH,2022,27564.64
JAWA TIMUR,JAWATIMUR,2022,40546.88
KALIMANTAN BARAT,KALIMANTANBARAT,2022,3034.85
KALIMANTAN SELATAN,KALIMANTANSELATAN,2022,3298.88
KALIMANTAN TENGAH,KALIMANTANTENGAH,2022,1688.28
KALIMANTAN TIMUR,KALIMANTANTIMUR,2022,4287.19
KALIMANTAN UTARA,KALIMANTANUTARA,2022,192.11
KEP. BANGKA BELITUNG,BANGKABELITUNG,2022,1484.13
KEP. RIAU,KEPULAUANRIAU,2022,3889.72
LAMPUNG,LAMPUNG,2022,5382.48
MALUKU,MALUKU,2022,607.1
MALUKU UTARA,MALUKUUTARA,2022,672.32
NUSA TENGGARA BARAT,NUSATENGGARABARAT,2022,2359.31
NUSA TENGGARA TIMUR,NUSATENGGARATIMUR,2022,1206.91
PAPUA,PAPUA,2022,1280.52
PAPUA BARAT,PAPUABARAT,2022,621.46
RIAU,RIAU,2022,7691.64
SULAWESI BARAT,SULAWESIBARAT,2022,470.21
SULAWESI SELATAN,SULAWESISELATAN,2022,7856.64
SULAWESI TENGAH,SULAWESITENGAH,2022,1420.38
SULAWESI TENGGARA,SULAWESITENGGARA,2022,1213.9
SULAWESI UTARA,SULAWESIUTARA,2022,1966.05
SUMATERA BARAT,SUMATERABARAT,2022,3630.43
SUMATERA SELATAN,SUMATERASELATAN,2022,5878.31
SUMATERA UTARA,SUMATERAUTARA,2022,12059.81
ACEH,DI.ACEH,2023,3458.3
BALI,BALI,2023,6354.53
BANTEN,BANTEN,2023,26971.4
BENGKULU,BENGKULU,2023,1155.97
DI YOGYAKARTA,DAERAHISTIMEWAYOGYAKARTA,2023,3564.23
DKI JAKARTA,DKIJAKARTA,2023,36992.35
GORONTALO,GORONTALO,2023,742.22
JAMBI,JAMBI,2023,2371.18
JAWA BARAT,JAWABARAT,2023,58564.31
JAWA TENGAH,JAWATENGAH,2023,28431.75
JAWA TIMUR,JAWATIMUR,2023,41886.3
KALIMANTAN BARAT,KALIMANTANBARAT,2023,3308.59
KALIMANTAN SELATAN,KALIMANTANSELATAN,2023,3693.87
KALIMANTAN TENGAH,KALIMANTANTENGAH,2023,1831.08
